Year,Case Individual ID,Case Vehicle ID,Victim Status,Role Type,Seating Position,Ejection,License State Code,Sex,Transported By,Safety Equipment,Injury Descriptor,Injury Location,Injury Severity,Age
2018,19992979,15233447,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,21
2018,19993050,15233498,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,24
2018,19993131,15233551,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,44
2018,19993230,15233624,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt,Not Entered,Not Entered,Uninjured,41
2018,19993231,15233625,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,58
2018,19993272,15233653,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Entered,Not Entered,Uninjured,66
2018,20019962,15233654,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,29
2018,19993361,15233710,Not Applicable,Passenger of a Motor Vehicle in Transport,Unknown Seating Passenger,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,38
2018,19993362,15233711,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,MD,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,31
2018,19993386,15233726,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,20
2018,19993439,15233772,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19993440,15233773,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,24
2018,19993555,15233845,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,25
2018,19993560,15233848,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,27
2018,19993561,15233849,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,51
2018,19993563,15233850,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,49
2018,19993564,15233851,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,TX,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,35
2018,19993582,15233861,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,27
2018,19993595,15233869,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,62
2018,19993596,15233870,Conscious,Pedestrian,Not Applicable,Not Applicable,OT,F,Fire Vehicle,Not Applicable,Complaint of Pain,Knee-Lower Leg-Foot,Minor,17
2018,19993688,15233938,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,50
2018,19993689,15233939,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,26
2018,19993690,15233940,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,33
2018,19993718,15233960,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,CT,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,28
2018,19993748,15233980,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,32
2018,19993765,15233994,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,25
2018,19993792,15234008,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,70
2018,19993814,15234022,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,39
2018,19993843,15234042,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,AZ,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,44
2018,19993851,15234047,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,32
2018,19993852,15234048,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19993892,15234082,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,21
2018,19994064,15234191,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,31
2018,19994303,15234350,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Harness,Not Applicable,Not Applicable,Uninjured,22
2018,19994310,15234353,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,49
2018,19994312,15234355,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,25
2018,19994313,15234356,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,38
2018,19994325,15234364,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Coroner's Van or Municipal Emergency Equipment,Lap Belt/Harness,Complaint of Pain,Chest,Minor,82
2018,19994326,15234365,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,61
2018,19994343,15234378,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed,Not Applicable,Not Applicable,Uninjured,20
2018,19994359,15234386,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,65
2018,19994360,15234387,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Minor Bleeding,Face,Moderate,32
2018,19994371,15234396,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,54
2018,19994372,15234397,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt,Not Applicable,Not Applicable,Uninjured,45
2018,19994379,15234402,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19994377,15234400,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,49
2018,19994378,15234401,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,OT,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,44
2018,19994452,15234456,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Unknown Ambulance,Lap Belt/Harness,Minor Bleeding,Elbow-Lower Arm-Hand,Moderate,64
2018,19994474,15234469,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,61
2018,19994475,15234470,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,31
2018,19994478,15234473,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,21
2018,19994479,15234474,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,20
2018,19994525,15234502,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,52
2018,19994526,15234503,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,31
2018,19994535,15234511,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,20
2018,19994536,15234512,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,26
2018,19994538,15234513,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,54
2018,19994539,15234514,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,48
2018,19994556,15234529,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,28
2018,19994557,15234530,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,42
2018,19994561,15234533,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,26
2018,19994562,15234534,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,27
2018,19994567,15234538,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,38
2018,19994602,15234561,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,26
2018,19994627,15234578,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,53
2018,19994634,15234585,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,19
2018,19994635,15234586,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Unknown,Air Bag Deployed/Lap Belt/Harness,Complaint of Pain,Neck,Minor,36
2018,19994636,15234587,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,CT,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Entered,Not Entered,Uninjured,34
2018,19994643,15234590,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,52
2018,19994644,15234591,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,34
2018,19994645,15234592,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,32
2018,19994655,15234596,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Air Bag Deployed/Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,24
2018,19994671,15234610,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,57
2018,19994679,15234616,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,42
2018,19994680,15234617,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,45
2018,19994745,15234652,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,VA,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,50
2018,19994746,15234653,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,67
2018,19994767,15234669,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,47
2018,19994782,15234681,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Minor Bleeding,Elbow-Lower Arm-Hand,Moderate,46
2018,19994788,15234686,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,61
2018,19994789,15234687,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,53
2018,19994803,15234699,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,40
2018,19994804,15234700,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,46
2018,19994805,15234701,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,"Momentary unconsciousness, limping, nausea, hysteria, complaint of pain (no visible injury), whiplash.",Not Entered,Minor,59
2018,19994811,15234705,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,50
2018,19994812,15234706,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,VT,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,35
2018,19994832,15234723,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,23
2018,19994844,15234732,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,20
2018,19994932,15234761,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NJ,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,22
2018,19994933,15234762,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NJ,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,40
2018,19995037,15234828,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,29
2018,19995038,15234829,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,57
2018,19995052,15234841,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,22
2018,19995094,15234867,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,35
2018,19995098,15234870,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,PA,M,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,24
2018,19995100,15234871,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,21
2018,19995108,15234878,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19995109,15234879,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,45
2018,19995112,15234881,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19995113,15234882,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,62
2018,19995141,15234902,Not Entered,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Entered,Not Entered,Uninjured,51
2018,19995142,15234903,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Fire Vehicle,Lap Belt/Harness,None Visible,Back,Minor,46
2018,19995143,15234904,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,51
2018,19995144,15234905,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,18
2018,19995147,15234906,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,17
2018,19995148,15234907,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,25
2018,19995155,15234911,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,33
2018,19995156,15234912,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,MD,M,Police Ambulance,Lap Belt/Harness,Complaint of Pain,Back,Minor,27
2018,19995242,15234976,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Not Entered,Air Bag Deployed/Lap Belt/Harness,Complaint of Pain,Neck,Minor,27
2018,19995243,15234977,Conscious,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,F,Police Ambulance,Air Bag Deployed/Lap Belt/Harness,Complaint of Pain,Back,Minor,23
2018,19995260,15234988,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NJ,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,28
2018,19995274,15234999,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,47
2018,19995275,15235000,Not Applicable,Driver of a Motor Vehicle in Transport,Driver,Not Ejected,NY,M,Not Entered,Lap Belt/Harness,Not Applicable,Not Applicable,Uninjured,52
